iter,amp,temp_eV,m0,m2
1,30961810.1861,18050.8476708,3.115282e+20,7.389604e+32
2,31526884.128,18766.3029002,3.282424e+20,8.047207e+32
3,30467613.9231,17915.7847188,3.045270e+20,7.177467e+32
4,30855723.3249,18498.9709464,3.172391e+20,7.683501e+32
5,30855095.3923,18498.121483,3.172198e+20,7.682736e+32
6,30855015.3187,18498.0042927,3.172172e+20,7.682632e+32
7,30854984.1959,18497.9575557,3.172162e+20,7.682591e+32
8,30854966.6361,18497.932677,3.172157e+20,7.682568e+32
9,30854952.9987,18497.9182845,3.172153e+20,7.682555e+32
10,30854945.4998,18497.9076605,3.172151e+20,7.682545e+32
1,30854938.75,18497.9004851,3.172149e+20,7.682538e+32
2,30854934.0725,18497.8949084,3.172148e+20,7.682533e+32
3,30854929.7887,18497.8907141,3.172147e+20,7.682529e+32
4,30854926.2262,18497.88736,3.172146e+20,7.682526e+32
5,30854923.6259,18497.8844477,3.172145e+20,7.682523e+32
6,30854921.8314,18497.8819054,3.172144e+20,7.682521e+32
7,30854921.0347,18497.8794651,3.172144e+20,7.682519e+32
8,30854919.7115,18497.8775904,3.172144e+20,7.682517e+32
9,30854917.9305,18497.8762075,3.172143e+20,7.682516e+32
10,30854917.2184,18497.8746634,3.172143e+20,7.682515e+32
